Source,1,2,3,4,5,6
75688790,1007847953,,,,,
75688791,1007847878,,,,,
75688792,1007848017,,,,,
75688793,1224227705,,,,,
75688794,75688795,,,,,
75688795,548200790,,,,,
75688803,899358015,,,,,
75688804,283033432,,,,,
75688805,548200871,,,,,
75688806,548200884,,,,,
75688807,548182737,,,,,
75688820,,,,,,
75688821,1014281154,,,,,
75688825,1014281114,,,,,
75688826,1014281169,,,,,
75688828,1006025171,,,,,
75688829,75688831,,,,,
75688831,1006025159,,,,,
75688832,798341984,,,,,
75688833,920934524,,,,,
75688834,919594936,,,,,
75688836,5726770510,,,,,
75688838,1107056917,1107057162,,,,
75688839,1535205947,1102988856,,,,
75688840,1102988856,1690821480,,,,
75688841,1102988757,,,,,
75688843,1102988727,,,,,
75688846,610869128,610869126,,,,
75688848,1537288063,,,,,
75688852,7220889075,,,,,
75688853,937155889,,,,,
75688854,1934027787,,,,,
75688857,1210459673,,,,,
75688858,825952478,1573918754,,,,
75688861,148412492,,,,,
75688862,825952522,,,,,
75688864,825952559,,,,,
75688865,148413603,,,,,
75688869,1551719073,,,,,
75688871,1198302934,,,,,
75688872,4292831720,,,,,
75688873,5178173014,,,,,
75688875,1551719079,,,,,
75688876,765342578,,,,,
75695052,906079395,,,,,
75695056,269300064,3818745054,,,,
75695061,820446170,,,,,
75695063,1200104150,1200104145,,,,
75695657,1781062883,1781062879,1853581181,,,
75695662,1853581135,1061262199,,,,
75698084,415537332,,,,,
75698085,1749820204,,,,,
75698098,3097237784,,,,,
75698099,5969020220,767281541,,,,
75698100,75698099,,,,,
75698101,6627407704,,,,,
75698104,1217098327,922931460,,,,
75698105,2246131029,,,,,
75698115,5857015868,,,,,
75698131,1853581162,1061262122,,,,
75699411,213723764,,,,,
75715529,973735493,,,,,
75715530,967690074,,,,,
75715532,967690089,,,,,
75715535,967690075,270054059,,,,
75715538,1226408709,,,,,
75715539,1124755742,,,,,
75715540,973725109,,,,,
75715541,75715542,,,,,
75715542,1661972887,,,,,
75715544,1124897405,,,,,
75715545,1347481505,,,,,
75715546,75715545,,,,,
75715549,7332916256,,,,,
75715552,1011120000,,,,,
75715553,75715552,,,,,
75715554,1213205820,,,,,
75715556,6987886565,,,,,
75715560,6987886553,,,,,
75715561,2030380572,,,,,
75715562,1011120067,,,,,
75715563,75715562,,,,,
81312136,1065642294,,,,,
81312138,1497503819,,,,,
81312139,1570887314,1236192441,411684773,,,
81312140,675849084,411684751,,,,
81312141,3391747837,,,,,
81312143,1410914915,295574075,,,,
81312144,828573954,941325882,,,,
81312146,295338347,295338346,,,,
81312147,828573884,6550110901,,,,
81312148,828573912,828573967,,,,
81312149,6757627044,276858388,,,,
81312150,270245401,,,,,
81312173,1706145091,,,,,
81312174,2530927079,,,,,
81312175,1114847340,,,,,
81312177,828009232,,,,,
81312326,1184748463,,,,,
81312327,1065642325,,,,,
81312330,3098152908,1048688825,,,,
81312371,1410914900,2540309925,,,,
81312373,612765385,411684745,612765388,1001061791,,
81312374,1008393137,1001061770,,,,
81312463,81312855,599923970,,,,
81312464,1091936540,276857336,,,,
81312465,268397363,1114847277,,,,
81312468,1504008702,1048688830,,,,
81312518,7283221178,612425795,612425792,,,
81312519,612433355,612433339,612433344,612433341,,
81312520,1570887326,2551268522,2565798404,,,
81312648,5039688801,716461748,1001319456,,,
81312680,6685372310,6685372300,5577749264,,,
81312681,5577749261,5577749262,,,,
81312682,4359066753,3163584003,1063572817,,,
81312683,715766327,3163584004,,,,
81312734,612425788,612425786,,,,
81312736,612427070,612425792,612425795,612427073,,
81312738,411684780,612767572,411684748,,,
81312855,1570864066,81312463,,,,
81312857,655061705,806561185,3721072640,977508346,,
83372020,695123302,1617853790,1364458323,,,
83372021,1668588010,4560480988,,,,
83372023,4560480963,1617853794,,,,
83372024,5109219343,2430793616,3909734699,,,
83372025,1009877360,83372027,2430793623,,,
83372027,1617853797,83372025,,,,
83372028,2283481606,5492917260,1363680181,,,
83372029,1009877388,4344939014,5492917260,,,
83372030,1009877551,4344939014,,,,
83372031,5720581744,1363680184,,,,
83372034,1617853800,,,,,
83372036,1009877452,,,,,
83372037,83372038,,,,,
83372038,83372039,,,,,
83372039,1617853801,,,,,
83372042,1009587203,,,,,
83374788,1009587583,2273345801,1617853804,,,
83374791,6313792433,1617853763,,,,
83374794,83374796,1515392425,,,,
83374796,83374797,83374794,,,,
83374797,83374800,83374796,,,,
83374800,83374801,83374797,,,,
83374801,83374803,83374800,,,,
83374803,83374804,83374801,,,,
83374804,83374806,83374803,,,,
83374806,1009877758,83374804,,,,
83374807,83372036,,,,,
83378641,368177873,,,,,
83378642,849596510,,,,,
83378644,2249740192,,,,,
83378645,1992630676,,,,,
83378649,877047105,,,,,
83378650,83378649,,,,,
83378651,764851889,,,,,
83378654,1313015972,,,,,
83386382,368179421,,,,,
83386384,83386382,,,,,
83386386,83386384,,,,,
83386387,83386386,,,,,
83386388,83386387,,,,,
83386389,83386388,,,,,
83399329,3615140521,,,,,
83399331,3199576342,,,,,
83399333,1959928902,,,,,
83399801,83399802,,,,,
83399802,3082903897,,,,,
83399803,3082903895,,,,,
83400371,2362855796,,,,,
83400650,967690072,,,,,
83401381,967690079,,,,,
83401382,270055583,,,,,
102054320,1458520248,1049849324,,,,
102054322,3816551321,,,,,
102054325,919594583,,,,,
102054330,3913363137,,,,,
102054332,1138245752,,,,,
102054334,3338413722,,,,,
102054335,1136497033,1136497057,,,,
102054340,2455768855,,,,,
102054342,281148564,,,,,
148408071,75688858,,,,,
148410898,825952444,,,,,
148410899,1210459714,825952493,,,,
148410901,148410903,,,,,
148410903,148408071,,,,,
148412492,937155617,,,,,
148413603,1210459709,148410898,,,,
160583691,1097424946,,,,,
160583693,1686053277,,,,,
160583694,1097424984,,,,,
160583696,1097314911,,,,,
160583699,1097315716,,,,,
160583701,934648959,,,,,
160583705,3894188860,,,,,
160583706,3894188453,3894188452,1097425040,,,
160583711,2390457113,275006051,,,,
160583713,2291344971,1104503622,1104503577,1104503595,,
160583716,3894188448,3894188446,,,,
160583719,1104525702,1104861081,,,,
160583721,7093465146,891520440,1746017513,,,
160583724,1419587602,4245923506,,,,
160583728,1495506173,881723955,,,,
160583729,3206862534,3252628241,,,,
160583730,967690083,967690076,,,,
160583732,1123376191,,,,,
160583734,967690071,967690067,,,,
160583735,160583734,,,,,
160585564,1136497207,,,,,
160585565,975889086,,,,,
160585566,276980084,,,,,
160585629,2239752574,,,,,
160586179,2419330485,1136496636,,,,
160586180,667504702,,,,,
160586182,160586180,,,,,
160586183,1136496826,1136497213,,,,
160586185,667504669,,,,,
160586187,160586185,,,,,
160586932,695131076,,,,,
160586934,2455755691,,,,,
160587140,3913363136,,,,,
160587237,3913363130,,,,,
160587752,907027478,3913363128,,,,
160587753,3913363124,,,,,
160587756,1472094419,3913363118,,,,
160587757,3913363122,,,,,
160588140,1138245659,3913363134,,,,
160588141,3913363140,2962568992,,,,
160589898,820399390,,,,,
160589899,907020358,1049849689,,,,
160589901,907704472,,,,,
160589903,1826586871,,,,,
160591402,102054320,,,,,
160591404,818620657,,,,,
160591987,3279571536,,,,,
160591989,987966951,,,,,
160592629,820399391,,,,,
160592631,160591404,,,,,
160593493,1049849581,,,,,
160601990,1435757733,,,,,
160601991,1435757735,,,,,
160601992,7160745189,,,,,
160601994,1313611046,,,,,
160602000,1686036640,,,,,
160602001,7160745224,,,,,
160602004,7160745230,,,,,
160602006,2944345004,,,,,
160602008,160602006,,,,,
160602013,1084595236,,,,,
160602014,2135336310,,,,,
160605555,1132008041,1132007992,,,,
160605557,160605555,,,,,
160605558,922922227,,,,,
160605559,922922244,,,,,
160605560,6983475603,1132007866,,,,
160605561,160605560,,,,,
160605563,2944344935,1132007946,,,,
160605566,160605563,,,,,
